DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2004,28673.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2005,31385.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2006,35405.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2007,39606.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2008,42298.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2009,49824.4,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2010,59059.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2011,62576.1,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2012,71778.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2013,67096.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2014,65581.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2015,67943.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2016,64939.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2017,68520.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2018,67431.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2019,68492.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2020,81916.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2021,103256.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2022,124300.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2023,130808.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Czechia,2024,138513.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2000,1261584.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2001,1274759.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2002,1330083.1,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2003,1419426.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2004,1489670.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2005,1561020.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2006,1610903.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2007,1619064.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2008,1687442.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2009,1804696.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2010,2119241.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2011,2155875.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2012,2234802.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2013,2220281.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2014,2224559.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2015,2197473.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2016,2182375.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2017,2132783.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2018,2086432.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2019,2075824.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2020,2347936.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2021,2501718.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2022,2569045.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2023,2630569.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Germany,2024,2693780.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2000,95147.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2001,92444.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2002,95608.1,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2003,93083.1,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2004,93791.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2005,83889.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2006,75019.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2007,68906.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2008,86323.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2009,100048.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2010,112184.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2011,124292.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2012,123585.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2013,123954.4,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2014,129562.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2015,121199.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2016,117852.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2017,118091.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2018,115789.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2019,118194.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2020,141319.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2021,136060.0,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2022,126840.5,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2023,123309.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Denmark,2024,119871.4,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2000,4878915.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2001,5034155.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2002,5201319.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2003,5455523.3,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2004,5713606.6,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2005,5978288.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2006,6118922.7,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2007,6234166.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2008,6744697.1,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2009,7485911.9,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2010,8215019.8,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2011,8629033.2,,
ESTAT:SDG_17_40(1.0),21/10/25 11:00:00,Annual,Million euro,General government,Government consolidated gross debt,Euro area - 19 countries  (2015-2022),2012,9002164.5,,
